number,difficulty,codeLength,timestamp,elapsed
2580319,216524462,200,1717251066,5.0
2580320,216947360,200,1717251070,4.0
2580321,216735498,200,1717251090,20.0
2580322,216735498,200,1717251098,8.0
2580323,216735498,200,1717251109,11.0
2580324,216947153,200,1717251110,1.0
2580325,216099705,196,1717251151,41.0
2580326,216310739,200,1717251153,2.0
2580327,216521979,200,1717251158,5.0
2580328,216310532,200,1717251172,14.0
2580329,216521772,200,1717251176,4.0
2580330,216310325,200,1717251195,19.0
2580331,216099085,196,1717251215,20.0
2580332,216310119,200,1717251218,3.0
2580333,216098879,196,1717251232,14.0
2580334,215676811,196,1717251254,22.0
2580335,215466190,196,1717251272,18.0
2580336,215255774,196,1717251286,14.0
2580337,215465984,196,1717251288,2.0
2580338,215676400,196,1717251291,3.0
2580339,215887021,196,1717251294,3.0
2580340,215465367,196,1717251317,23.0
2580341,215675782,196,1717251318,1.0
2580342,215675782,196,1717251331,13.0
2580343,215886402,196,1717251336,5.0
2580344,215464750,196,1717251361,25.0
2580345,215675164,196,1717251362,1.0
2580346,215885784,196,1717251363,1.0
2580347,216096609,196,1717251364,1.0
2580348,215885578,196,1717251380,16.0
2580349,215885578,196,1717251391,11.0
2580350,215674753,196,1717251405,14.0
2580351,215885372,196,1717251409,4.0
2580352,216096197,196,1717251412,3.0
2580353,216307228,200,1717251413,1.0
2580354,216307228,200,1717251426,13.0
2580355,215884754,196,1717251453,27.0
2580356,216095578,196,1717251455,2.0
2580357,215462488,196,1717251487,32.0
2580358,215672900,196,1717251493,6.0
2580359,215883518,196,1717251496,3.0
2580360,215883518,196,1717251503,7.0
2580361,216094341,196,1717251504,1.0
2580362,215672283,196,1717251531,27.0
2580363,215882900,196,1717251532,1.0
2580364,216093723,196,1717251537,5.0
2580365,216304752,200,1717251543,6.0
2580366,216093517,196,1717251563,20.0
2580367,216304545,200,1717251564,1.0
2580368,216304545,200,1717251572,8.0
2580369,216093311,196,1717251588,16.0
2580370,216093311,196,1717251601,13.0
2580371,216304339,200,1717251606,5.0
2580372,215036935,196,1717251659,53.0
2580373,215036935,196,1717251666,7.0
2580374,215246932,196,1717251667,1.0
2580375,215667336,196,1717251668,1.0
2580376,215667336,196,1717251676,8.0
2580377,215667336,196,1717251687,11.0
2580378,215877948,196,1717251693,6.0
2580379,215667130,196,1717251708,15.0
2580380,215035294,196,1717251737,29.0
2580381,215245289,196,1717251738,1.0
2580382,215455489,196,1717251739,1.0
2580383,215665894,196,1717251742,3.0
2580384,215876505,196,1717251743,1.0
2580385,215665689,196,1717251765,22.0
2580386,215665689,196,1717251776,11.0
2580387,215876300,196,1717251782,6.0
2580388,216087116,196,1717251788,6.0
2580389,216298138,200,1717251789,1.0
2580390,216509366,200,1717251792,3.0
2580391,216509366,200,1717251802,10.0
2580392,216086498,196,1717251825,23.0
2580393,216297519,200,1717251826,1.0
2580394,216297519,200,1717251837,11.0
2580395,216297519,200,1717251847,10.0
2580396,216086291,196,1717251861,14.0
2580397,216086291,196,1717251872,11.0
2580398,216297312,200,1717251875,3.0
2580399,216297312,200,1717251886,11.0
2580400,216297312,200,1717251895,9.0
2580401,216508539,200,1717251899,4.0
2580402,216508539,200,1717251907,8.0
2580403,216719973,200,1717251911,4.0
2580404,216931613,200,1717251913,2.0
2580405,216296072,200,1717251946,33.0
2580406,216507298,200,1717251949,3.0
2580407,216718730,200,1717251954,5.0
2580408,216295452,200,1717251980,26.0
2580409,216295452,200,1717251990,10.0
2580410,216295452,200,1717251997,7.0
2580411,216295452,200,1717252007,10.0
2580412,216506678,200,1717252008,1.0
2580413,215872382,196,1717252036,28.0
2580414,216083194,196,1717252037,1.0
2580415,216294212,200,1717252038,1.0
2580416,215660540,196,1717252068,30.0
2580417,215871145,196,1717252069,1.0
2580418,215871145,196,1717252080,11.0
2580419,215871145,196,1717252092,12.0
2580420,215871145,196,1717252104,12.0
2580421,216081956,196,1717252105,1.0
2580422,216292973,200,1717252106,1.0
2580423,216504196,200,1717252108,2.0
2580424,216292767,200,1717252123,15.0
2580425,216081544,196,1717252140,17.0
2580426,216292561,200,1717252141,1.0
2580427,216503784,200,1717252142,1.0
2580428,216503784,200,1717252150,8.0
2580429,216715213,200,1717252154,4.0
2580430,216715213,200,1717252162,8.0
2580431,216926848,200,1717252163,1.0
2580432,216926848,200,1717252176,13.0
2580433,216926848,200,1717252185,9.0
2580434,216503164,200,1717252206,21.0
2580435,216714592,200,1717252212,6.0
